"id","title","author","genre_sugerido","confianca","assuntos_encontrados"
"ec764e21-05ae-44f7-b1f1-cde4be9d889e","Todas as Suas Imperfeicoes","Colleen Hoover","SEM SUGESTÃO","0",""
"2987eb4b-ef9b-46f3-86b2-5ad65fc825e5","Tokyo Ghoul Vol. 1","Sui Ishida","HQs","2","Comics & graphic novels, manga, horror | nyt:manga=2015-07-05 | New York Times bestseller"
"09540280-59c4-43f6-b6c7-caf5c59ea93f","Torto Arado","Itamar Vieira Junior","Fantasia","1","Magic realism (Literature) | Accidents | Domestic fiction | Families | farmers | fiction | novels | sisters | Romance fiction | Portuguese fiction"
"36fd84d0-c067-4f59-997f-5c4e13c9582d","Trono de Vidro","Sarah J. Maas","SEM SUGESTÃO","0",""
"1acd330f-1a49-4e8b-925a-49cc17242d59","Tudo e Rio","Carla Madeira","SEM SUGESTÃO","0",""
"276a4a2b-4e6d-4afe-a81f-54ffc8866a86","Ubik","Philip K. Dick","Ficção Científica","1","Fiction | Death | Businessmen | Explosions | Science Fiction | Fiction, science fiction, general | Iowa, fiction | Fiction, humorous | FICTION / Science Fiction / General | FICTION / Literary | Large type books | Motion picture plays | Fiction, humorous, general | Murder victims | Terrorism | Death--fiction | Businessmen--fiction | Explosions--fiction | Science fiction, american | Ps3554.i3 u24 1991 | 813/.54 | American Science fiction | Time"
"10fdb878-6851-42b7-b011-e48ae73a0d51","Um Dia","David Nicholls","SEM SUGESTÃO","0",""
"d8c861dc-707f-463f-8d02-3055d35da742","Uma Breve Historia do Tempo","Stephen Hawking","SEM SUGESTÃO","0",""
"13a82657-51aa-4446-ab37-8627e2051d14","V de Vinganca","Alan Moore","SEM SUGESTÃO","0",""
"fe9ea584-a65b-444c-a91b-96e15c3247b8","V de Vinganca","Alan Moore e David Lloyd","SEM SUGESTÃO","0",""
"4d404492-31d0-4fcb-a08c-218668e94012","Vagabond Vol. 1","Takehiko Inoue","HQs","2","Comics & graphic novels, manga, historical fiction | Samurai, fiction"
"4ffe6b15-0e83-4ae7-97b5-5b13c1824ab2","Verity","Colleen Hoover","Romance","1","Fiction, romance, contemporary, suspense | New York Times bestseller | Family secrets in fiction | Man-woman relationships, fiction | Secrecy in fiction | Fiction | Romance | collectionid:nyt2020s | Man-woman relationships"
"3fbfa3bc-360d-45b4-a7f8-80c3c5684a3c","Vermelho, Branco e Sangue Azul","Casey McQuiston","SEM SUGESTÃO","0",""
"fff8be11-280f-4423-baef-4bc09b443a6d","Vida 3.0","Max Tegmark","SEM SUGESTÃO","0",""
"444d7b0e-8b8e-4881-b345-77e54617fb1a","Vidas Secas","Graciliano Ramos","SEM SUGESTÃO","0","Illustrations | Seca in literature | Myth in literature | In literature | Literature | Vidas secas (Ramos, Graciliano)"
"be72da85-282a-4059-b525-3de2f22dc3a5","Vilao","V.E. Schwab","SEM SUGESTÃO","0",""
"82c784c8-948f-4b85-afed-63ac23afbdeb","Vinland Saga Vol. 1","Makoto Yukimura","SEM SUGESTÃO","0",""
"adb008ba-7fed-424d-a4ca-cedc1a0f56c9","Watchmen","Alan Moore","HQs","3","Watchmen (Comic strip) | Graphic novels | Comic books, strips | New York Times bestseller | nyt:paperback_graphic_books=2009-03-15 | Comics & graphic novels, science fiction | Superheroes | Crimes against | Comics & graphic novels, superheroes | Good and evil | Fiction | Bandes dessinées | Comicroman | Heroes | Bandes dessinees | Comic books, strips, etc | Pn6737.m66 w38 2005b | Comics & graphic novels, science fiction, general | Homicide | Superhero graphic novels | Comics & graphic novels, crime & mystery | Comics & Graphic Novels | Science fiction | Fantasy | Comic books | Classics | Dystopias"
"09773f85-f5e7-4bb0-8c79-fd5cec1db407","Wolf Hall","Hilary Mantel","História","2","Biographical fiction | Fiction | History | Man Booker Prize Winner | award:national_book_critics_circle_award=fiction | award:national_book_critics_circle_award=2009 | award:man_booker_prize=2009 | New York Times bestseller | Historical Fiction | National Book Critics Circle Award Winner | nyt:trade_fiction_paperback=2010-08-29 | Fictional Works | National book critics circle award | Fiction, historical | Great britain, fiction | Interpersonal relations | Court and courtiers | Courts and courtiers | Politik | New York Times reviewed | Fiction, historical, general | Historischer Roman | Englisch | Romans, nouvelles | Histoire"
"20e9c444-ddc8-4b15-a315-a279dcb78354","X-Men: Deus Ama, o Homem Mata","Chris Claremont","SEM SUGESTÃO","0",""
